film_name,director,year,n_chunks,n_tokens
castle_in_the_sky,Miyazaki,1986,897,6550
howls_moving_castle,Miyazaki,2004,1353,8673
kikis_delivery_service,Miyazaki,1989,678,6898
my_neighbor_totoro,Miyazaki,1988,464,3565
nausicaa,Miyazaki,1984,848,7165
ponyo,Miyazaki,2008,817,3657
porco_rosso,Miyazaki,1992,665,6804
princess_mononoke,Miyazaki,1997,760,8429
spirited_away,Miyazaki,2001,895,7813
the_wind_rises,Miyazaki,2013,976,6006
grave_of_the_fireflies,Takahata,1988,367,4260
only_yesterday,Takahata,1991,833,7317
pom_poko,Takahata,1994,1626,12496
princess_kaguya,Takahata,2013,1224,6363
